ward,no.,leakage/y/m/d,leakage point,cause,repair way,other repair,remove or not,diameter,leakage year,construction year
D,1928,昭和59年00月00日,不明,不明,不明,,不明,300,1984,1968
D,1928,昭和60年00月00日,不明,不明,不明,,不明,300,1985,1968
D,2402,平成7年5月25日,不明,不明,割継輪,割継輪,不明,300,1995,1970
D,2819,昭和55年00月00日,不明,不明,不明,,不明,150,1980,1969
D,2844,平成3年10月23日,配水管本体,不明,割継輪,,不明,200,1991,1967
D,2336,平成4年12月1日,配水管本体,不明,割継輪,,未撤去,300,1992,1967
D,2974,平成7年5月11日,不明,不明,管取替え,,未撤去,150,1995,1968
D,3065,平成7年1月17日,不明,不明,その他,,未撤去,200,1995,1973
E,9,平成14年2月19日,不明,その他,不明,弁体不良Ｃ型金具取り付け,未撤去,150,2002,1970
E,49,昭和61年00月00日,不明,不明,不明,,不明,300,1986,1967
E,581,平成17年6月13日,不明,その他,不明,,未撤去,150,2005,1974
E,693,平成03年05月00日,不明,不明,不明,,不明,150,1991,1970
E,708,昭和61年00月00日,不明,第3者,不明,,不明,300,1986,1966
E,944,平成07年01月00日,不明,不明,不明,,不明,100,1995,1967
E,975,昭和59年00月00日,不明,不明,不明,,不明,200,1984,1966
E,1025,平成05年02月00日,不明,不明,不明,,未撤去,300,1993,1981
E,1059,平成4年11月26日,配水管本体,不明,割継輪,,未撤去,300,1992,1981
E,1412,平成05年11月00日,不明,不明,不明,,未撤去,300,1993,1969
F,48,平成06年01月00日,不明,不明,不明,,未撤去,300,1994,1968
F,48,平成16年10月29日,配水管本体,不明,割継輪,不明φ４０を撤去,未撤去,300,2004,1968
F,178,平成04年04月00日,不明,不明,不明,,未撤去,150,1992,1979
F,184,平成07年01月00日,不明,不明,不明,,未撤去,150,1995,1993
F,283,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1970
F,308,平成04年01月00日,不明,不明,不明,,未撤去,100,1992,1978
F,339,平成13年11月19日,不明,その他,不明,特殊割継輪×２,未撤去,150,2001,1976
F,390,平成5年8月30日,不明,不明,不明,,未撤去,150,1993,1972
F,453,平成04年02月00日,不明,不明,不明,,未撤去,150,1992,1970
F,511,平成07年01月00日,不明,不明,不明,,未撤去,100,1995,1966
F,614,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1973
F,614,平成5年4月14日,不明,不明,不明,,未撤去,150,1993,1973
F,878,平成07年01月00日,不明,不明,その他,震災,不明,150,1995,1973
F,898,平成07年01月00日,配水管本体,不明,管取替え,震災,不明,150,1995,1972
F,898,平成07年01月00日,配水管本体,不明,割継輪,震災,不明,150,1995,1972
F,898,平成07年01月00日,配水管本体,不明,管取替え,震災,不明,150,1995,1972
F,894,平成07年01月00日,継手,不明,管取替え,震災,不明,100,1995,1969
F,904,平成07年01月00日,不明,不明,その他,震災,不明,150,1995,1973
F,918,平成07年01月00日,継手,不明,管取替え,震災,不明,75,1995,1992
F,933,平成18年4月24日,配水管本体,不明,不明,,撤去済,150,2006,2006
F,938,平成07年01月00日,継手,不明,管取替え,震災,不明,150,1995,1975
F,938,平成07年01月00日,配水管本体,不明,管取替え,震災,不明,150,1995,1975
F,916,平成07年01月00日,不明,不明,その他,震災,不明,300,1995,1969
F,946,平成07年01月00日,不明,不明,その他,震災,不明,100,1995,1969
F,946,平成07年01月00日,不明,不明,その他,震災,不明,100,1995,1969
F,904,平成07年01月00日,不明,不明,その他,震災,不明,150,1995,1973
F,904,平成07年01月00日,不明,不明,不明,震災,不明,150,1995,1973
F,951,平成14年10月23日,配水管本体,不明,割継輪,,未撤去,300,2002,1969
F,952,平成07年01月00日,配水管本体,不明,管取替え,震災,不明,150,1995,1985
F,953,平成07年01月00日,不明,不明,その他,震災,不明,300,1995,1969
