i / j,d,D0,Cs,ke,kt,kc,t0,n,w0,beta,V0,wet,alpha,a1,a2,a3,phi
3,20,220.752,2.4,34.68,0.832,1,0.0767,17.23,0.05,0.0104,0.3,0.75,9.28,74.4,7.3,-17.4,20
3,,62.919,0.2,0.0076,0.024,,,29.34,0.005,0.001,0.04,0.2,4.04,5.7,0.06,3.2,
