ward,no.,Çãíl,material,joint,diameter,length(m),leakage year,construction year,ñÑê›îNêî,çXê∂îNìx,çXê∂éÌï ,éñåÃçáåvåèêî,ìπòHåí îÌäQäzÅiâ~Åj,ésñØìôÇ÷ÇÃîÌäQäzÅiâ~Åj,ífêÖîÌäQäzÅiâ~Åj,èCëUîÔópÅiâ~Åj,òRêÖëπé∏(â~Åj,äOñ ïÖêHï‚ê≥åWêî,ì‡ñ ïÖêHï‚ê≥åWêî,ïzê›îNìxï‚ê≥åWêî,åpéËï‚ê≥åWêî,å˚åaï‚ê≥åWêî,âﬂãéÇÃéñåÃóRL(ÇòÅj,éñåÃî≠ê∂ó\ë™éÆRN,RNÇÃãtêî,ï÷âvÇÃä∑éZåWêî,îÔópÅiêÁâ~Åj,ï÷âvÅiêÁâ~Åj,îÔópï÷âvî‰,âﬂãéÇÃéñåÃóRL(Çò+1Åj,éñåÃî≠ê∂ó\ë™éÆRN',RN'ÇÃãtêî,ï÷âvÇÃä∑éZåWêî(2),ï÷âv(2)ÅiêÁâ~Åj,îÔópï÷âvî‰(2),ÉâÉìÉN
Y,23,0.93,Çc,Çs,150,215,,1976,31,0,,0,"536,574","505,248","1,077,235","2,786,096","966,171",1,1,1,1,1,0.205,0.044,23,1.39,"38,784","8,161",0.19,1.218,0.262,4,5.66,"33,232",0.78,C
Y,24,1.22,Çc,Çs,150,229,2005,1976,31,0,,1,"536,574","505,248","1,077,235","2,786,096","1,030,883",1,1,1,1,1,1.218,0.279,4,5.66,"41,381","33,598",0.74,1.746,0.4,2,10.88,"64,584",1.42,B
Y,25,0.93,Çc,Ç`,300,61,,1966,41,0,,0,"536,574","505,248","1,077,235","2,786,096","272,278",1,1,1,1,1,0.205,0.012,81,0.96,"10,930","4,970",0.41,1.218,0.074,14,1.95,"10,096",0.84,C
Y,26,0.93,Çc,Çs,150,1,,1980,27,0,,0,"536,574","505,248","1,077,235","2,786,096","4,947",1,1,1,1,1,0.205,0,4431,0.96,199,"4,714",21.5,1.218,0.001,746,0.96,"4,714",21.5,A
Y,27,0.93,Çc,Ç`,100,11,,1976,31,0,,0,"133,758","505,248","1,077,235","2,786,096","49,538",1,1,1,1,1,0.205,0.002,442,0.96,"1,989","4,370",1.99,1.218,0.013,75,0.96,"4,370",1.99,A
Y,28,1.22,Çc,Çj,150,3,,1999,8,0,,0,"53,133","505,248","1,077,235","2,786,096","11,678",1,1,1,1,1,0.205,0.001,1877,0.96,469,"4,256",8.23,1.218,0.003,316,0.96,"4,256",8.23,A
Y,29,1.22,Çc,Çs,150,231,,1977,30,0,,0,"133,758","505,248","1,077,235","2,786,096","1,040,107",1,1,1,1,1,0.205,0.047,21,1.47,"41,751","8,147",0.18,1.218,0.282,4,5.66,"31,370",0.68,C
Y,30,0.82,Çc,Çs,150,92,,1977,30,0,,0,"133,758","505,248","1,077,235","2,786,096","412,314",1,1,1,1,1,0.205,0.019,53,0.96,"16,551","4,718",0.26,1.218,0.112,9,2.77,"13,614",0.75,C
Y,31,0.93,Çc,Çs,150,101,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","455,564",1,1,1,1,1,0.205,0.021,48,0.97,"18,287","4,731",0.23,1.218,0.123,8,3.05,"14,876",0.74,C
Y,32,0.93,Çc,Çs,150,101,,1977,30,0,,0,"53,133","505,248","1,077,235","2,786,096","456,387",1,1,1,1,1,0.205,0.021,48,0.97,"18,320","4,732",0.23,1.218,0.124,8,3.05,"14,878",0.74,C
