1,0,0,0
0.6,0.4,0,0
0.406,0.428,0.166,0
0.289,0.385,0.296,0.03
0.206,0.325,0.393,0.076
0.152,0.29,0.413,0.145
0.115,0.262,0.403,0.22
0.098,0.217,0.399,0.286
0.088,0.17,0.399,0.343
0.063,0.175,0.375,0.387
0.059,0.143,0.366,0.432
0.048,0.118,0.366,0.468
0.04,0.113,0.355,0.492
0.042,0.104,0.336,0.518
0.033,0.105,0.333,0.529
0.031,0.104,0.315,0.55
0.032,0.103,0.293,0.572
0.025,0.091,0.311,0.573
0.025,0.094,0.304,0.577
0.029,0.083,0.298,0.59
0.027,0.087,0.295,0.591
